"","Informazioni.cronologiche","gender","age","Occupation","Question.1","Question.2","Question.3","Question.4","Question.5","Question.6","Question.7","Question.8","Question.9","Fam_discount"
"13","19/08/2021 21.16.16","F",28,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 3","Alternative 2","Yes"
"14","19/08/2021 21.18.47","F",26,"Worker","Alternative 3","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 3","Yes"
"15","19/08/2021 21.43.28","M",29,"Worker","Alternative 1","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 2","Alternative 3","Alternative 2","No"
"16","19/08/2021 21.44.53","F",25,"Worker","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 3","Alternative 2","Yes"
"17","20/08/2021 0.01.18","M",29,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 1","Yes"
"18","05/08/2021 15.45.01","F",41,"Worker","Alternative 1","Alternative 1","Alternative 1","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Yes"
"19","05/08/2021 16.02.38","M",20,"Student","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Yes"
"20","05/08/2021 16.14.34","M",40,"Worker","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Yes"
"21","05/08/2021 16.30.48","M",44,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Alternative 1","No"
"22","05/08/2021 16.48.05","M",52,"Unemployed","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Alternative 1","No"
"23","05/08/2021 17.30.43","M",22,"Student","Alternative 3","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 3","Alternative 2","Yes"
"24","05/08/2021 17.49.07","M",64,"Worker","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 3","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Yes"
"25","05/08/2021 18.18.09","M",27,"Student","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Yes"
"26","05/08/2021 18.39.36","M",20,"Student","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","No"
"27","05/08/2021 19.43.02","F",28,"Worker","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Yes"
"28","05/08/2021 20.13.06","M",23,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 2","Yes"
"29","05/08/2021 21.07.45","F",33,"Worker","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Alternative 3","Alternative 2","Yes"
"30","05/08/2021 21.39.47","M",19,"Student","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Yes"
"31","05/08/2021 22.10.57","F",40,"Worker","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Yes"
"32","06/08/2021 10.07.23","M",42,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Yes"
"33","06/08/2021 17.44.28","M",21,"Student","Alternative 2","Alternative 2","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Yes"
"34","06/08/2021 21.44.02","F",24,"Student","Alternative 1","Alternative 3","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Alternative 1","Alternative 1","Alternative 2","Yes"
"35","06/08/2021 21.46.22","M",30,"Student","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 1","No"
"36","07/08/2021 10.32.23","M",18,"Student","Alternative 2","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Alternative 1","Yes"
"37","07/08/2021 12.57.07","M",49,"Worker","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Yes"
"38","07/08/2021 17.05.16","F",26,"Worker","Alternative 3","Alternative 3","Alternative 3","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 2","Yes"
"39","07/08/2021 17.14.03","M",31,"Worker","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Yes"
"40","08/08/2021 10.30.52","M",47,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Yes"
"41","08/08/2021 11.09.38","F",24,"Student","Alternative 2","Alternative 2","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Yes"
"42","08/08/2021 17.43.44","M",29,"Unemployed","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 3","Alternative 2","Yes"
"43","08/08/2021 17.49.50","F",48,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Alternative 2","Alternative 1","Alternative 1","Alternative 2","Yes"
"44","09/08/2021 15.15.19","M",26,"Worker","Alternative 1","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 2","Yes"
"45","09/08/2021 16.43.15","F",45,"Unemployed","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 2","Alternative 1","Alternative 1","Alternative 1","No"
"46","09/08/2021 17.22.29","other",30,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Yes"
"47","09/08/2021 17.34.25","M",34,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 1","Yes"
"48","09/08/2021 21.41.37","M",24,"Student","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 3","Alternative 1","No"
"49","10/08/2021 16.51.53","F",21,"Student","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 3","Alternative 1","Yes"
"50","11/08/2021 5.19.37","M",26,"Worker","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 2","Alternative 1","Alternative 1","Yes"
"51","11/08/2021 8.18.25","M",41,"Worker","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Yes"
"52","11/08/2021 10.34.38","M",57,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 3","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Alternative 2","Yes"
"53","11/08/2021 22.52.49","F",27,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Yes"
"54","12/08/2021 9.16.21","M",24,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Alternative 2","Alternative 1","Alternative 1","Alternative 2","No"
"55","12/08/2021 14.01.08","F",20,"Student","Alternative 3","Alternative 1","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Yes"
"56","12/08/2021 14.03.57","M",21,"Student","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 2","Yes"
"57","12/08/2021 15.20.12","F",24,"Student","Alternative 3","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 2","Yes"
"58","14/08/2021 11.38.36","F",27,"Student","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 3","Alternative 1","Alternative 3","Alternative 3","Alternative 1","Yes"
"59","14/08/2021 23.30.40","M",26,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 1","No"
